shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0,40.732040202666,-74.062827583359,115,6.23818784
0,40.732397751768,-74.063279990768,116,6.2724112
0,40.73258209059,-74.063505363785,117,6.2897729
0,40.732986,-74.062889,118,6.33243473
1,40.735858,-74.02922,0,0
1,40.73572242756,-74.029348296959,1,0.01152593
1,40.735586854844,-74.029390763229,2,0.02115296
1,40.735249760075,-74.029387068787,3,0.04444358
1,40.733534287751,-74.029407914017,4,0.16297057
1,40.732958046165,-74.029483048935,5,0.20297696
1,40.732722356588,-74.029502417969,6,0.21929244
1,40.732516518203,-74.029641026428,7,0.23525827
1,40.732339199141,-74.029888109756,8,0.25307456
1,40.732243050149,-74.030093820068,9,0.26572824
1,40.732201210325,-74.030670797562,10,0.29607337
1,40.732006486851,-74.031624637543,11,0.34779141
1,40.731798908521,-74.032016545284,12,0.37282493
